Date,Oil,Gas
2010-01-08,427,781
2010-01-15,425,811
2010-01-22,437,833
2010-01-29,444,861
2010-02-05,445,878
2010-02-12,443,891
2010-02-19,440,893
2010-02-26,456,905
2010-03-05,456,926
2010-03-12,466,927
2010-03-19,474,939
2010-03-26,489,941
2010-04-01,502,949
2010-04-09,505,959
2010-04-16,506,973
2010-04-23,514,956
2010-04-30,513,958
2010-05-07,528,953
2010-05-14,544,951
2010-05-21,538,969
2010-05-28,555,967
2010-06-04,545,947
2010-06-11,561,954
2010-06-18,574,953
2010-06-25,583,958
2010-07-02,587,960
2010-07-09,592,964
2010-07-16,580,979
2010-07-23,591,982
2010-07-30,603,972
2010-08-06,611,983
2010-08-13,636,992
2010-08-20,655,985
2010-08-27,672,973
2010-09-03,665,977
2010-09-10,663,980
2010-09-17,670,982
2010-09-24,673,967
2010-10-01,687,962
2010-10-08,690,971
2010-10-15,695,966
2010-10-22,695,965
2010-10-29,696,967
2010-11-05,718,955
2010-11-12,720,955
2010-11-19,731,936
2010-11-24,724,953
2010-12-03,742,961
2010-12-10,763,948
2010-12-17,756,941
2010-12-22,771,931
2010-12-30,765,919
2011-01-07,777,914
2011-01-14,789,902
2011-01-21,798,906
2011-01-28,809,913
2011-02-04,818,911
2011-02-11,805,906
2011-02-18,798,905
2011-02-25,783,906
2011-03-04,801,899
2011-03-11,827,882
2011-03-18,839,875
2011-03-25,851,880
2011-04-01,877,891
2011-04-08,886,889
2011-04-15,880,885
2011-04-21,913,878
2011-04-29,926,882
2011-05-06,934,890
2011-05-13,947,874
2011-05-20,954,866
2011-05-27,958,881
2011-06-03,959,887
2011-06-10,969,879
2011-06-17,984,870
2011-06-24,"1,003",873
2011-07-01,"1,006",874
2011-07-08,"1,007",873
2011-07-15,"1,013",885
2011-07-22,"1,021",889
2011-07-29,"1,025",877
2011-08-05,"1,031",883
2011-08-12,"1,055",896
2011-08-19,"1,066",900
2011-08-26,"1,069",898
2011-09-02,"1,064",895
2011-09-09,"1,057",892
2011-09-16,"1,062",912
2011-09-23,"1,071",912
2011-09-30,"1,060",923
2011-10-07,"1,070",935
2011-10-14,"1,080",936
2011-10-21,"1,079",927
2011-10-28,"1,078",934
2011-11-04,"1,112",907
2011-11-11,"1,133",877
2011-11-18,"1,125",871
2011-11-25,"1,130",865
2011-12-02,"1,132",856
2011-12-09,"1,161",820
2011-12-16,"1,196",818
2011-12-22,"1,201",802
2011-12-29,"1,193",809
2012-01-06,"1,191",811
2012-01-13,"1,191",791
2012-01-20,"1,223",780
2012-01-27,"1,225",777
2012-02-03,"1,245",745
2012-02-10,"1,263",720
2012-02-17,"1,272",716
2012-02-24,"1,265",710
2012-03-02,"1,293",691
2012-03-09,"1,296",670
2012-03-16,"1,317",663
2012-03-23,"1,313",652
2012-03-30,"1,318",658
2012-04-05,"1,329",647
2012-04-13,"1,322",624
2012-04-20,"1,337",631
2012-04-27,"1,328",613
2012-05-04,"1,355",606
2012-05-11,"1,372",598
2012-05-18,"1,382",600
2012-05-25,"1,383",594
2012-06-01,"1,386",588
2012-06-08,"1,414",565
2012-06-15,"1,405",562
2012-06-22,"1,421",541
2012-06-29,"1,421",534
2012-07-06,"1,419",542
2012-07-13,"1,427",522
2012-07-20,"1,414",518
2012-07-27,"1,416",505
2012-08-03,"1,429",498
2012-08-10,"1,432",495
2012-08-17,"1,425",484
2012-08-24,"1,408",486
2012-08-31,"1,419",473
2012-09-07,"1,409",452
2012-09-14,"1,413",448
2012-09-21,"1,402",454
2012-09-28,"1,410",435
2012-10-05,"1,398",437
2012-10-12,"1,411",422
2012-10-19,"1,410",427
2012-10-26,"1,408",416
2012-11-02,"1,373",424
2012-11-09,"1,389",413
2012-11-16,"1,390",417
2012-11-21,"1,388",428
2012-11-30,"1,386",424
2012-12-07,"1,382",417
2012-12-14,"1,381",416
2012-12-21,"1,340",429
2012-12-28,"1,327",431
2013-01-04,"1,318",439
2013-01-11,"1,323",434
2013-01-18,"1,316",429
2013-01-25,"1,315",434
2013-02-01,"1,332",428
2013-02-08,"1,330",425
2013-02-15,"1,337",421
2013-02-22,"1,329",428
2013-03-01,"1,333",420
2013-03-08,"1,341",407
2013-03-15,"1,341",431
2013-03-22,"1,324",418
2013-03-28,"1,354",389
2013-04-05,"1,357",375
2013-04-12,"1,387",377
2013-04-19,"1,371",379
2013-04-26,"1,381",366
2013-05-03,"1,403",354
2013-05-10,"1,412",350
2013-05-17,"1,408",354
2013-05-24,"1,402",354
2013-05-31,"1,410",354
2013-06-07,"1,406",354
2013-06-14,"1,413",353
2013-06-21,"1,405",349
2013-06-28,"1,390",353
2013-07-03,"1,395",355
2013-07-12,"1,391",362
2013-07-19,"1,395",369
2013-07-26,"1,401",369
2013-08-02,"1,388",388
2013-08-09,"1,385",386
2013-08-16,"1,397",388
2013-08-23,"1,382",387
2013-08-30,"1,388",380
2013-09-06,"1,365",394
2013-09-13,"1,361",401
2013-09-20,"1,369",386
2013-09-27,"1,362",376
2013-10-04,"1,372",378
2013-10-11,"1,367",369
2013-10-18,"1,361",372
2013-10-25,"1,357",376
2013-11-01,"1,376",360
2013-11-08,"1,383",365
2013-11-15,"1,385",370
2013-11-22,"1,387",369
2013-11-27,"1,391",367
2013-12-06,"1,397",375
2013-12-13,"1,411",369
2013-12-20,"1,395",372
2013-12-27,"1,382",374
2014-01-03,"1,378",372
2014-01-10,"1,393",357
2014-01-17,"1,408",365
2014-01-24,"1,416",356
2014-01-31,"1,422",358
2014-02-07,"1,416",351
2014-02-14,"1,423",337
2014-02-21,"1,425",342
2014-02-28,"1,430",335
2014-03-07,"1,443",345
2014-03-14,"1,461",344
2014-03-21,"1,473",326
2014-03-28,"1,487",318
2014-04-04,"1,498",316
2014-04-11,"1,517",310
2014-04-17,"1,510",316
2014-04-25,"1,534",323
2014-05-02,"1,527",323
2014-05-09,"1,528",323
2014-05-16,"1,531",326
2014-05-23,"1,528",325
2014-05-30,"1,536",326
2014-06-06,"1,536",320
2014-06-13,"1,542",310
2014-06-20,"1,545",311
2014-06-27,"1,558",314
2014-07-03,"1,562",311
2014-07-11,"1,563",311
2014-07-18,"1,554",315
2014-07-25,"1,562",318
2014-08-01,"1,573",313
2014-08-08,"1,588",316
2014-08-15,"1,589",321
2014-08-22,"1,564",330
2014-08-29,"1,575",338
2014-09-05,"1,584",340
2014-09-12,"1,592",338
2014-09-19,"1,601",329
2014-09-26,"1,592",338
2014-10-03,"1,591",330
2014-10-10,"1,609",320
2014-10-17,"1,590",328
2014-10-24,"1,595",332
2014-10-31,"1,582",346
2014-11-07,"1,568",356
2014-11-14,"1,578",350
2014-11-21,"1,574",355
2014-11-26,"1,572",344
2014-12-05,"1,575",344
2014-12-12,"1,546",346
2014-12-19,"1,536",338
2014-12-26,"1,499",340
2015-01-02,"1,482",328
2015-01-09,"1,421",329
2015-01-16,"1,366",310
2015-01-23,"1,317",316
2015-01-30,"1,223",319
2015-02-06,"1,140",314
2015-02-13,"1,056",300
2015-02-20,"1,019",289
2015-02-27,986,280
2015-03-06,922,268
2015-03-13,866,257
2015-03-20,825,242
2015-03-27,813,233
2015-04-02,802,222
2015-04-10,760,225
2015-04-17,734,217
2015-04-24,703,225
2015-05-01,679,222
2015-05-08,668,221
2015-05-15,660,223
2015-05-22,659,222
2015-05-29,646,225
2015-06-05,642,222
2015-06-12,635,221
2015-06-19,631,223
2015-06-26,628,228
2015-07-02,640,219
2015-07-10,645,217
2015-07-17,638,218
2015-07-24,659,216
2015-07-31,664,209
2015-08-07,670,213
2015-08-14,672,211
2015-08-21,674,211
2015-08-28,675,202
2015-09-04,662,202
2015-09-11,652,196
2015-09-18,644,198
2015-09-25,641,197
2015-10-02,614,195
2015-10-09,605,189
2015-10-16,595,192
2015-10-23,594,193
2015-10-30,578,197
2015-11-06,572,199
2015-11-13,574,193
2015-11-20,564,193
2015-11-25,555,189
2015-12-04,545,192
2015-12-11,524,185
2015-12-18,541,168
2015-12-23,538,162
2015-12-31,536,162
2016-01-08,516,148
2016-01-15,515,135
2016-01-22,510,127
2016-01-29,498,121
2016-02-05,467,104
2016-02-12,439,102
2016-02-19,413,101
2016-02-26,400,102
2016-03-04,392,97
2016-03-11,386,94
2016-03-18,387,89
2016-03-24,372,92
2016-04-01,362,88
2016-04-08,354,89
2016-04-15,351,89
2016-04-22,343,88
2016-04-29,332,87
2016-05-06,328,86
2016-05-13,318,87
2016-05-20,318,85
2016-05-27,316,87
2016-06-03,325,82
2016-06-10,328,85
2016-06-17,337,86
2016-06-24,330,90
2016-07-01,341,89
2016-07-08,351,88
2016-07-15,357,89
2016-07-22,371,88
2016-07-29,374,86
2016-08-05,381,81
2016-08-12,396,83
2016-08-19,406,83
2016-08-26,406,81
2016-09-02,407,88
2016-09-09,414,92
2016-09-16,416,89
2016-09-23,418,92
2016-09-30,425,96
2016-10-07,428,94
2016-10-14,432,105
2016-10-21,443,108
2016-10-28,441,114
2016-11-04,450,117
2016-11-11,452,115
2016-11-18,471,116
2016-11-23,474,118
2016-12-02,477,119
2016-12-09,498,125
2016-12-16,510,126
2016-12-23,523,129
2016-12-30,525,132
2017-01-06,529,135
2017-01-13,522,136
2017-01-20,551,142
2017-01-27,566,145
2017-02-03,583,145
2017-02-10,591,149
2017-02-17,597,153
2017-02-24,602,151
2017-03-03,609,146
2017-03-10,617,151
2017-03-17,631,157
2017-03-24,652,155
2017-03-31,662,160
2017-04-07,672,165
2017-04-13,683,162
2017-04-21,688,167
2017-04-28,697,171
2017-05-05,703,173
2017-05-12,712,172
2017-05-19,720,180
2017-05-26,722,185
2017-06-02,733,182
2017-06-09,741,185
2017-06-16,747,186
2017-06-23,758,183
2017-06-30,756,184
2017-07-07,763,189
2017-07-14,765,187
2017-07-21,764,186
2017-07-28,766,192
2017-08-04,765,189
2017-08-11,768,181
2017-08-18,763,182
2017-08-25,759,180
2017-09-01,759,183
2017-09-08,756,187
2017-09-15,749,186
2017-09-22,744,190
2017-09-29,750,189
2017-10-06,748,187
2017-10-13,743,185
2017-10-20,736,177
2017-10-27,737,172
2017-11-03,729,169
2017-11-10,738,169
2017-11-17,738,177
2017-11-22,747,176
2017-12-01,749,180
2017-12-08,751,180
2017-12-15,747,183
2017-12-22,747,184
2017-12-29,747,182
2018-01-05,742,182
2018-01-12,752,187
2018-01-19,747,189
2018-01-26,759,188
2018-02-02,765,181
2018-02-09,791,184
2018-02-16,798,177
2018-02-23,799,179
2018-03-02,800,181
2018-03-09,796,188
2018-03-16,800,189
2018-03-23,804,190
2018-03-29,797,194
2018-04-06,808,194
2018-04-13,815,192
2018-04-20,820,192
2018-04-27,825,195
2018-05-04,834,196
2018-05-11,844,199
2018-05-18,844,200
2018-05-25,859,198
2018-06-01,861,197
2018-06-08,862,198
2018-06-15,863,194
2018-06-22,862,188
2018-06-29,858,187
2018-07-06,863,187
2018-07-13,863,189
2018-07-20,858,187
2018-07-27,861,186
2018-08-03,859,183
2018-08-10,869,186
2018-08-17,869,186
2018-08-24,860,182
2018-08-31,862,184
2018-09-07,860,186
2018-09-14,867,186
2018-09-21,866,186
2018-09-28,863,189
2018-10-05,861,189
2018-10-12,869,193
2018-10-19,873,194
2018-10-26,875,193
2018-11-02,874,193
2018-11-09,886,195
2018-11-16,888,194
2018-11-21,885,194
2018-11-30,887,189
2018-12-07,877,198
2018-12-14,873,198
2018-12-21,883,197
2018-12-28,885,198
2019-01-04,877,198
2019-01-11,873,202
2019-01-18,852,198
2019-01-25,862,197
2019-02-01,847,198
2019-02-08,854,195
2019-02-15,857,194
2019-02-22,853,194
2019-03-01,843,195
2019-03-08,834,193
2019-03-15,833,193
2019-03-22,824,192
2019-03-29,816,190
2019-04-05,831,194
2019-04-12,833,189
2019-04-18,825,187
2019-04-26,805,186
2019-05-03,807,183
2019-05-10,805,183
2019-05-17,802,185
2019-05-24,797,186
2019-05-31,800,184
2019-06-07,789,186
2019-06-14,788,181
2019-06-21,789,177
2019-06-28,793,173
2019-07-03,788,174
2019-07-12,784,172
2019-07-19,779,174
2019-07-26,776,169
2019-08-02,770,171
2019-08-09,764,169
2019-08-16,770,165
2019-08-23,754,162
2019-08-30,742,162
2019-09-06,738,160
2019-09-13,733,153
2019-09-20,719,148
2019-09-27,713,146
2019-10-04,710,144
2019-10-11,712,143
2019-10-18,713,137
2019-10-25,696,133
2019-11-01,691,130
2019-11-08,684,130
2019-11-15,674,129
2019-11-22,671,129
2019-11-27,668,131
2019-12-06,663,133
2019-12-13,667,129
2019-12-20,685,125
2019-12-27,677,125
2020-01-03,670,123
2020-01-10,659,119
2020-01-17,673,120
2020-01-24,676,115
2020-01-31,675,112
2020-02-07,676,111
2020-02-14,678,110
2020-02-21,679,110
2020-02-28,678,110
2020-03-06,682,109
2020-03-13,683,107
2020-03-20,664,106
2020-03-27,624,102
2020-04-03,562,100
2020-04-09,504,96
2020-04-17,438,89
2020-04-24,378,85
2020-05-01,325,81
2020-05-08,292,80
2020-05-15,258,79
2020-05-22,237,79
2020-05-29,222,77
2020-06-05,206,76
2020-06-12,199,78
2020-06-19,189,75
2020-06-26,188,75
2020-07-02,185,76
2020-07-10,181,75
2020-07-17,180,71
2020-07-24,181,68
2020-07-31,180,69
2020-08-07,176,69
2020-08-14,172,70
