Month,Production
May-20,2925001
Apr-20,2990647
Mar-20,3156571
Feb-20,2949884
Jan-20,3172003
Dec-19,3194898
Nov-19,3102924
Oct-19,3193166
Sep-19,3046751
Aug-19,3105344
Jul-19,3039774
Jun-19,2943471
May-19,3003926
Apr-19,2919841
Mar-19,3000840
Feb-19,2694335
Jan-19,2951785
Dec-18,2951941
Nov-18,2870234
Oct-18,2895137
Sep-18,2796916
Aug-18,2814741
Jul-18,2758842
Jun-18,2645313
May-18,2729555
Apr-18,2617048
Mar-18,2720684
Feb-18,2410396
Jan-18,2612489
Dec-17,2628395
Nov-17,2558771
Oct-17,2564255
Sep-17,2438213
Aug-17,2476180
Jul-17,2477573
Jun-17,2373176
May-17,2428739
Apr-17,2350432
Mar-17,2425799
Feb-17,2142588
Jan-17,2339431
Dec-16,2357556
Nov-16,2307494
Oct-16,2364679
Sep-16,2297402
Aug-16,2389813
Jul-16,2408915
Jun-16,2312288
May-16,2412475
Apr-16,2361554
Mar-16,2441976
Feb-16,2310521
Jan-16,2435375
Dec-15,2434920
Nov-15,2356237
Oct-15,2445042
Sep-15,2383531
Aug-15,2447534
Jul-15,2444753
Jun-15,2358416
May-15,2442713
Apr-15,2398440
Mar-15,2443119
Feb-15,2196987
Jan-15,2420352
Dec-14,2410202
Nov-14,2314517
Oct-14,2407070
Sep-14,2306544
Aug-14,2384273
Jul-14,2371359
Jun-14,2247082
May-14,2310058
Apr-14,2247677
Mar-14,2267138
Feb-14,2033039
Jan-14,2198795
Dec-13,2177887
Nov-13,2143606
Oct-13,2192600
Sep-13,2115463
Aug-13,2191677
Jul-13,2196404
Jun-13,2084393
May-13,2157048
Apr-13,2094623
Mar-13,2136856
Feb-13,1935275
Jan-13,2136400
Dec-12,2152640
Nov-12,2101833
Oct-12,2168774
Sep-12,2094289
Aug-12,2151742
Jul-12,2162384
Jun-12,2039909
May-12,2121367
Apr-12,2044519
Mar-12,2118693
Feb-12,1974431
Jan-12,2152698
Dec-11,2134904
Nov-11,2076152
Oct-11,2118735
Sep-11,1987134
Aug-11,2056617
Jul-11,2032795
Jun-11,1954453
May-11,2030695
Apr-11,1960847
Mar-11,2002359
Feb-11,1728929
Jan-11,1952732
Dec-10,1984174
Nov-10,1892658
Oct-10,1956114
Sep-10,1861038
Aug-10,1917995
Jul-10,1896082
Jun-10,1802492
May-10,1886476
Apr-10,1813312
Mar-10,1864519
Feb-10,1682869
Jan-10,1824143
