Month,Production
May-20,2712983
Apr-20,2777119
Mar-20,2921689
Feb-20,2737930
Jan-20,2938354
Dec-19,2972182
Nov-19,2887457
Oct-19,2969238
Sep-19,2831670
Aug-19,2892797
Jul-19,2829598
Jun-19,2735955
May-19,2787560
Apr-19,2712147
Mar-19,2787763
Feb-19,2503539
Jan-19,2747140
Dec-18,2750975
Nov-18,2674830
Oct-18,2698038
Sep-18,2606504
Aug-18,2623114
Jul-18,2571021
Jun-18,2465221
May-18,2543728
Apr-18,2438880
Mar-18,2535461
Feb-18,2246298
Jan-18,2434632
Dec-17,2457638
Nov-17,2392537
Oct-17,2397665
Sep-17,2279811
Aug-17,2315312
Jul-17,2316614
Jun-17,2219000
May-17,2270953
Apr-17,2197733
Mar-17,2268204
Feb-17,2003393
Jan-17,2187447
Dec-16,2207475
Nov-16,2160600
Oct-16,2214145
Sep-16,2151150
Aug-16,2237678
Jul-16,2255564
Jun-16,2165089
May-16,2258898
Apr-16,2211218
Mar-16,2286521
Feb-16,2163435
Jan-16,2280340
Dec-15,2290495
Nov-15,2216479
Oct-15,2300017
Sep-15,2242155
Aug-15,2302361
Jul-15,2299745
Jun-15,2218529
May-15,2297826
Apr-15,2256179
Mar-15,2298208
Feb-15,2066675
Jan-15,2276791
Dec-14,2269247
Nov-14,2179157
Oct-14,2266298
Sep-14,2171651
Aug-14,2244834
Jul-14,2232675
Jun-14,2115666
May-14,2174959
Apr-14,2116226
Mar-14,2134549
Feb-14,1914141
Jan-14,2070203
Dec-13,2062296
Nov-13,2029834
Oct-13,2076228
Sep-13,2003186
Aug-13,2075354
Jul-13,2079830
Jun-13,1973764
May-13,2042563
Apr-13,1983451
Mar-13,2023443
Feb-13,1832561
Jan-13,2023011
Dec-12,2046213
Nov-12,1997917
Oct-12,2061550
Sep-12,1990747
Aug-12,2045359
Jul-12,2055476
Jun-12,1939055
May-12,2016486
Apr-12,1943437
Mar-12,2013944
Feb-12,1876815
Jan-12,2046268
Dec-11,2034141
Nov-11,1978161
Oct-11,2018734
Sep-11,1893345
Aug-11,1959548
Jul-11,1936850
Jun-11,1862207
May-11,1934850
Apr-11,1868299
Mar-11,1907851
Feb-11,1647326
Jan-11,1860566
Dec-10,1889640
Nov-10,1802484
Oct-10,1862916
Sep-10,1772370
Aug-10,1826614
Jul-10,1805745
Jun-10,1716613
May-10,1796596
Apr-10,1726918
Mar-10,1775686
Feb-10,1602690
Jan-10,1737233
