Month,Imports
May-20,189403
Apr-20,193401
Mar-20,217087
Feb-20,238163
Jan-20,262122
Dec-19,256053
Nov-19,223765
Oct-19,210537
Sep-19,208286
Aug-19,220076
Jul-19,230407
Jun-19,201163
May-19,207651
Apr-19,206559
Mar-19,252989
Feb-19,233317
Jan-19,290839
Dec-18,257148
Nov-18,212486
Oct-18,215128
Sep-18,214074
Aug-18,237025
Jul-18,247012
Jun-18,228469
May-18,227168
Apr-18,242264
Mar-18,270762
Feb-18,237417
Jan-18,299891
Dec-17,274478
Nov-17,240314
Oct-17,241338
Sep-17,229444
Aug-17,247888
Jul-17,250508
Jun-17,239805
May-17,244353
Apr-17,238279
Mar-17,280567
Feb-17,254597
Jan-17,291656
Dec-16,280791
Nov-16,231044
Oct-16,231449
Sep-16,238491
Aug-16,261983
Jul-16,265022
Jun-16,241885
May-16,248317
Apr-16,241317
Mar-16,240764
Feb-16,251775
Jan-16,273600
Dec-15,227257
Nov-15,218242
Oct-15,226286
Sep-15,208818
Aug-15,213875
Jul-15,216973
Jun-15,206273
May-15,204348
Apr-15,205120
Mar-15,257274
Feb-15,254230
Jan-15,279397
Dec-14,253736
Nov-14,227485
Oct-14,220858
Sep-14,201622
Aug-14,206554
Jul-14,201176
Jun-14,201655
May-14,206657
Apr-14,200669
Mar-14,234189
Feb-14,245422
Jan-14,295356
Dec-13,273181
Nov-13,218693
Oct-13,220430
Sep-13,243881
Aug-13,236248
Jul-13,236199
Jun-13,236690
May-13,234183
Apr-13,220608
Mar-13,248290
Feb-13,236875
Jan-13,278078
Dec-12,252066
Nov-12,233853
Oct-12,253402
Sep-12,257990
Aug-12,281350
Jul-12,281166
Jun-12,259732
May-12,259023
Apr-12,243018
Mar-12,265152
Feb-12,269906
Jan-12,281131
Dec-11,297733
Nov-11,248908
Oct-11,282159
Sep-11,251846
Aug-11,280284
Jul-11,293477
Jun-11,266617
May-11,271252
Apr-11,277936
Mar-11,315408
Feb-11,311154
Jan-11,371919
Dec-10,351773
Nov-10,273165
Oct-10,294744
Sep-10,281518
Aug-10,304901
Jul-10,328655
Jun-10,282260
May-10,297801
Apr-10,298464
Mar-10,318769
Feb-10,324124
Jan-10,384586
