Month,Consumption
May-20,2070382
Apr-20,2247490
Mar-20,2708467
Feb-20,3035038
Jan-20,3288604
Dec-19,3138365
Nov-19,2752828
Oct-19,2327289
Sep-19,2216155
Aug-19,2436913
Jul-19,2407213
Jun-19,2115190
May-19,2120906
Apr-19,2200952
Mar-19,2899765
Feb-19,2998986
Jan-19,3399783
Dec-18,2993096
Nov-18,2709923
Oct-18,2279103
Sep-18,2151522
Aug-18,2307705
Jul-18,2344581
Jun-18,2058667
May-18,2050892
Apr-18,2346316
Mar-18,2792620
Feb-18,2705928
Jan-18,3334981
Dec-17,3084490
Nov-17,2357676
Oct-17,2032007
Sep-17,1920949
Aug-17,2094286
Jul-17,2142104
Jun-17,1910937
May-17,1892487
Apr-17,1932494
Mar-17,2523710
Feb-17,2340577
Jan-17,2914165
Dec-16,2866273
Nov-16,2159445
Oct-16,1925203
Sep-16,1947752
Aug-16,2208375
Jul-16,2186616
Jun-16,2000656
May-16,1965799
Apr-16,2083848
Mar-16,2356298
Feb-16,2652260
Jan-16,3091695
Dec-15,2588168
Nov-15,2249140
Oct-15,1987310
Sep-15,1901337
Aug-15,2052728
Jul-15,2067714
Jun-15,1899906
May-15,1858149
Apr-15,2007922
Mar-15,2591329
Feb-15,2925172
Jan-15,3114982
Dec-14,2679165
Nov-14,2357521
Oct-14,1912810
Sep-14,1809291
Aug-14,1933061
Jul-14,1881017
Jun-14,1745351
May-14,1810222
Apr-14,1961678
Mar-14,2557890
Feb-14,2741240
Jan-14,3204129
Dec-13,2920826
Nov-13,2316909
Oct-13,1866762
Sep-13,1766973
Aug-13,1927379
Jul-13,1926330
Jun-13,1742917
May-13,1752469
Apr-13,1967458
Mar-13,2521108
Feb-13,2567155
Jan-13,2878785
Dec-12,2503907
Nov-12,2167841
Oct-12,1901084
Sep-12,1807208
Aug-12,2008815
Jul-12,2069773
Jun-12,1868356
May-12,1873835
Apr-12,1953071
Mar-12,2127761
Feb-12,2500654
Jan-12,2756180
Dec-11,2541878
Nov-11,2031872
Oct-11,1744454
Sep-11,1655634
Aug-11,1891783
Jul-11,1890515
Jun-11,1657334
May-11,1667396
Apr-11,1825023
Mar-11,2230493
Feb-11,2452403
Jan-11,2888640
Dec-10,2714054
Nov-10,1973294
Oct-10,1664938
Sep-10,1637491
Aug-10,1878926
Jul-10,1825828
Jun-10,1649515
May-10,1617274
Apr-10,1691813
Mar-10,2142925
Feb-10,2480950
Jan-10,2809788
