Week,Price
8/7/2020,2.13
7/31/2020,1.82
7/24/2020,1.72
7/17/2020,1.77
7/10/2020,1.78
7/3/2020,1.71
6/26/2020,1.57
6/19/2020,1.52
6/12/2020,1.7
6/5/2020,1.7
5/29/2020,1.76
5/22/2020,1.78
5/15/2020,1.63
5/8/2020,1.84
5/1/2020,1.71
4/24/2020,1.85
4/17/2020,1.72
4/10/2020,1.77
4/3/2020,1.63
3/27/2020,1.74
3/20/2020,1.82
3/13/2020,1.86
3/6/2020,1.8
2/28/2020,1.88
2/21/2020,2
2/14/2020,1.9
2/7/2020,1.89
1/31/2020,1.95
1/24/2020,1.93
1/17/2020,2.06
1/10/2020,2.09
1/3/2020,2.05
12/27/2019,2.03
12/20/2019,2.28
12/13/2019,2.24
12/6/2019,2.38
11/29/2019,2.49
11/22/2019,2.58
11/15/2019,2.73
11/8/2019,2.82
11/1/2019,2.62
10/25/2019,2.25
10/18/2019,2.25
10/11/2019,2.26
10/4/2019,2.33
9/27/2019,2.52
9/20/2019,2.63
9/13/2019,2.64
9/6/2019,2.46
8/30/2019,2.28
8/23/2019,2.27
8/16/2019,2.21
8/9/2019,2.11
8/2/2019,2.24
7/26/2019,2.3
7/19/2019,2.44
7/12/2019,2.47
7/5/2019,2.31
6/28/2019,2.34
6/21/2019,2.4
6/14/2019,2.41
6/7/2019,2.45
5/31/2019,2.66
5/24/2019,2.66
5/17/2019,2.67
5/10/2019,2.6
5/3/2019,2.59
4/26/2019,2.56
4/19/2019,2.62
4/12/2019,2.72
4/5/2019,2.7
3/29/2019,2.71
3/22/2019,2.86
3/15/2019,2.89
3/8/2019,3.28
3/1/2019,2.91
2/22/2019,2.71
2/15/2019,2.65
2/8/2019,2.59
2/1/2019,2.9
1/25/2019,3.19
1/18/2019,3.5
1/11/2019,2.89
1/4/2019,2.92
12/28/2018,3.26
12/21/2018,3.73
12/14/2018,4.38
12/7/2018,4.49
11/30/2018,4.43
11/23/2018,4.67
11/16/2018,4.23
11/9/2018,3.58
11/2/2018,3.28
10/26/2018,3.32
10/19/2018,3.26
10/12/2018,3.3
10/5/2018,3.23
9/28/2018,3.06
9/21/2018,3.03
9/14/2018,2.93
9/7/2018,2.94
8/31/2018,2.97
8/24/2018,3.01
8/17/2018,3
8/10/2018,2.96
8/3/2018,2.8
7/27/2018,2.79
7/20/2018,2.78
7/13/2018,2.89
7/6/2018,2.91
6/29/2018,2.98
6/22/2018,2.99
6/15/2018,2.99
6/8/2018,2.92
6/1/2018,2.88
5/25/2018,2.83
5/18/2018,2.8
5/11/2018,2.76
5/4/2018,2.75
4/27/2018,2.8
4/20/2018,2.83
4/13/2018,2.78
4/6/2018,2.79
3/30/2018,2.67
3/23/2018,2.66
3/16/2018,2.71
3/9/2018,2.74
3/2/2018,2.64
2/23/2018,2.62
2/16/2018,2.54
2/9/2018,2.75
2/2/2018,3.3
1/26/2018,3.43
1/19/2018,4.12
1/12/2018,3.24
1/5/2018,5.71
12/29/2017,3.03
12/22/2017,2.69
12/15/2017,2.77
12/8/2017,2.84
12/1/2017,2.94
11/24/2017,3.05
11/17/2017,3.1
11/10/2017,3.12
11/3/2017,2.78
10/27/2017,2.91
10/20/2017,2.84
10/13/2017,2.92
10/6/2017,2.84
9/29/2017,2.96
9/22/2017,3.09
9/15/2017,2.96
9/8/2017,2.91
9/1/2017,2.93
8/25/2017,2.97
8/18/2017,2.95
8/11/2017,2.85
8/4/2017,2.8
7/28/2017,2.96
7/21/2017,3.09
7/14/2017,2.96
7/7/2017,2.95
6/30/2017,3.01
6/23/2017,2.89
6/16/2017,3.03
6/9/2017,2.98
6/2/2017,3.03
5/26/2017,3.18
5/19/2017,3.21
5/12/2017,3.12
5/5/2017,3.14
4/28/2017,3.09
4/21/2017,3.1
4/14/2017,3.05
4/7/2017,3.18
3/31/2017,3.03
3/24/2017,2.99
3/17/2017,2.96
3/10/2017,2.75
3/3/2017,2.52
2/24/2017,2.62
2/17/2017,2.87
2/10/2017,3.04
2/3/2017,3.12
1/27/2017,3.27
1/20/2017,3.29
1/13/2017,3.27
1/6/2017,3.47
12/30/2016,3.69
12/23/2016,3.51
12/16/2016,3.57
12/9/2016,3.69
12/2/2016,3.21
11/25/2016,2.76
11/18/2016,2.44
11/11/2016,2.22
11/4/2016,2.5
10/28/2016,2.72
10/21/2016,3.14
10/14/2016,3.17
10/7/2016,2.91
9/30/2016,3.01
9/23/2016,3.11
9/16/2016,3.02
9/9/2016,2.87
9/2/2016,2.94
8/26/2016,2.82
8/19/2016,2.73
8/12/2016,2.77
8/5/2016,2.88
7/29/2016,2.85
7/22/2016,2.79
7/15/2016,2.81
7/8/2016,2.82
7/1/2016,2.89
6/24/2016,2.75
6/17/2016,2.59
6/10/2016,2.36
6/3/2016,2.15
5/27/2016,1.84
5/20/2016,1.89
5/13/2016,2
5/6/2016,1.96
4/29/2016,1.92
4/22/2016,1.91
4/15/2016,1.9
4/8/2016,1.96
4/1/2016,1.86
3/25/2016,1.79
3/18/2016,1.79
3/11/2016,1.64
3/4/2016,1.57
2/26/2016,1.82
2/19/2016,1.94
2/12/2016,2.16
2/5/2016,2.11
1/29/2016,2.22
1/22/2016,2.2
1/15/2016,2.32
1/8/2016,2.38
1/1/2016,2.27
12/25/2015,1.68
12/18/2015,1.72
12/11/2015,1.96
12/4/2015,2.13
11/27/2015,2.15
11/20/2015,2.09
11/13/2015,2.11
11/6/2015,2.02
10/30/2015,2.12
10/23/2015,2.38
10/16/2015,2.48
10/9/2015,2.38
10/2/2015,2.49
9/25/2015,2.61
9/18/2015,2.7
9/11/2015,2.7
9/4/2015,2.69
8/28/2015,2.69
8/21/2015,2.75
8/14/2015,2.88
8/7/2015,2.8
7/31/2015,2.87
7/24/2015,2.88
7/17/2015,2.89
7/10/2015,2.75
7/3/2015,2.79
6/26/2015,2.8
6/19/2015,2.9
6/12/2015,2.78
6/5/2015,2.65
5/29/2015,2.8
5/22/2015,2.99
5/15/2015,2.88
5/8/2015,2.75
